range_m,azimuth_deg,peak,count,ping,t_s
92.3248,-152.0,13.04294747203544,1,31,31.0
90.94160000000001,-20.0,10.115026061507647,1,31,31.0
67.83760000000001,24.000000000000004,1987.9174732788194,1,32,32.0
67.8301149407696,-115.00129751041861,997.9817254112455,2,32,32.0
76.72959999999999,6.000000000000001,14.520505396501521,1,32,32.0
76.5016,80.0,11.091969678476692,1,32,32.0
83.6152,42.0,10.221071383876783,1,32,32.0
68.08080000000001,24.000000000000004,1994.4852478225787,1,33,33.0
68.08155132075535,-115.00873074418894,997.7882371722159,2,33,33.0
68.08080000000001,156.0,993.7744105194282,1,33,33.0
86.8984,150.0,9.862745344462985,1,33,33.0
14.591999999999999,104.0,8.407697113539403,1,33,33.0
68.3392,24.000000000000004,1997.4393618298134,1,34,34.0
68.3323876971298,-115.00889192954014,996.6668805323523,2,34,34.0
68.41916817829005,156.0160856931397,995.9640652109201,2,34,34.0
99.34720000000002,68.0,13.337492496217525,1,34,34.0
7.8432,-112.0,11.033909081492824,1,34,34.0
68.5824,24.0,1996.9069435014933,1,35,35.0
68.58970476356679,-114.99666721956875,1000.8581722348805,2,35,35.0
68.5824,156.0,995.9747244059741,1,35,35.0
50.5704,-78.0,10.643354764411685,1,35,35.0
49.8104,136.0,10.613052148926423,1,35,35.0
68.8408,24.000000000000004,1999.746458988261,1,36,36.0
68.8408,156.0,999.0217684077776,1,36,36.0
68.84099092196136,-114.0014783246388,998.0863275105726,2,36,36.0
74.48,94.0,9.560234112737072,1,36,36.0
39.9456,-72.0,9.10429453727679,1,36,36.0
69.0992,24.000000000000004,1997.3178484783798,1,37,37.0
69.09224039462029,-114.00481695372999,998.5146949481773,2,37,37.0
69.0992,156.0,996.5580217050443,1,37,37.0
30.6736,-124.0,13.053547616625934,1,37,37.0
3.2224,-96.00000000000001,12.290203406105668,1,37,37.0
69.3424,24.000000000000004,1997.9652974955045,1,38,38.0
69.34890964953804,-113.99179854493651,1002.7478625985989,2,38,38.0
69.3424,156.0,999.1278552928021,1,38,38.0
5.7456,-100.0,10.884919279898376,1,38,38.0
49.764799999999994,84.0,9.84389707752491,1,38,38.0
69.60079999999998,24.000000000000004,1996.9399908932041,1,39,39.0
69.60079999999999,156.0,997.6571018634944,1,39,39.0
69.60079549182691,-113.99996509284057,996.1622707928017,2,39,39.0
4.1495999999999995,-18.0,11.03604593823483,1,39,39.0
28.5,146.0,10.281912692181645,1,39,39.0
69.8592,24.000000000000004,2000.8946618681819,1,40,40.0
69.8592,156.0,1002.0024798398548,1,40,40.0
69.85900438354308,-113.99848532549143,999.4926889322799,2,40,40.0
33.5008,-56.00000000000001,10.726872777374533,1,40,40.0
64.144,-10.0,8.578330236417212,1,40,40.0
70.1176,24.000000000000004,1991.2480665818243,1,41,41.0
70.10966969329927,-113.99751548178808,997.9851191721226,2,41,41.0
70.1176,156.0,995.4365559403591,1,41,41.0
93.9056,-66.0,11.494613411196738,1,41,41.0
79.8912,-50.0,10.320620952874878,1,41,41.0
70.3608,22.0,1986.1155403105324,1,42,42.0
70.36717274462185,-113.990768766403,1001.472387232964,2,42,42.0
70.3608,156.0,990.7141643933002,1,42,42.0
12.996000000000002,-15.999999999999996,13.705800410690166,1,42,42.0
54.2792,-138.0,10.306516190497264,1,42,42.0
70.6192,22.0,1991.1032570383638,1,43,43.0
70.61881521804361,-113.99702060128506,999.3359572045388,2,43,43.0
70.6192,156.0,992.7366738493056,1,43,43.0
9.576,-80.0,10.486775394960441,1,43,43.0
3.2528,16.0,9.778875030900286,1,43,43.0
70.8776,22.0,1990.6147389634061,1,44,44.0
70.87702309639006,-113.99553298733579,1001.1079013585672,2,44,44.0
70.8776,156.0,995.8191342526177,1,44,44.0
23.4232,10.0,9.704748687175046,1,44,44.0
80.3928,146.0,9.540137286980432,1,44,44.0
71.136,22.0,1989.022439161589,1,45,45.0
71.13580212320635,-113.99846782351584,998.4273261277983,2,45,45.0
71.136,158.0,993.5539342473405,1,45,45.0
17.6016,-110.0,11.970549549914656,1,45,45.0
32.528,-4.000000000000001,11.534463558619786,1,45,45.0
71.39439999999999,22.0,1992.5431159272152,1,46,46.0
71.39478988296769,-114.00301889626992,1000.1387557686832,2,46,46.0
71.39439999999999,158.0,991.5617977491074,1,46,46.0
5.8824000000000005,122.0,10.433037267535086,1,46,46.0
90.0752,-52.0,10.174792292254024,1,46,46.0
71.6528,22.0,1994.0331375315686,1,47,47.0
71.65246105161194,-112.99606124059996,1001.2638139614239,2,47,47.0
71.6528,158.0,997.4931835053867,1,47,47.0
56.346399999999996,-22.0,11.181816519361982,1,47,47.0
61.75759999999999,80.0,9.286388788959144,1,47,47.0
71.9112,22.0,1996.1614728184875,1,48,48.0
71.91287088016803,-113.01941650988341,1003.8850369565043,2,48,48.0
71.9112,158.0,998.0210237301703,1,48,48.0
46.2688,128.0,11.778063642759719,1,48,48.0
79.9216,-36.0,11.467777969434485,1,48,48.0
72.1696,22.0,1994.7081148395566,1,49,49.0
72.17048049850152,-113.0102318578298,1000.5254962437566,2,49,49.0
72.1696,158.0,999.4965376822865,1,49,49.0
35.5072,-124.0,11.04456036399329,1,49,49.0
60.95199999999999,-72.0,10.451993658180303,1,49,49.0
72.428,22.0,1993.7063116130219,1,50,50.0
72.428,158.0,996.5772485666123,1,50,50.0
72.4282043923168,-112.00158262672215,993.5719653765411,2,50,50.0
50.1296,-84.0,11.471527244391767,1,50,50.0
23.8184,-6.0,10.750942845440001,1,50,50.0
72.6864,22.0,2001.57367525101,1,51,51.0
72.6864,158.0,1003.7102026977125,1,51,51.0
72.68630380061228,-111.9992551201333,1000.5648773311412,2,51,51.0
60.92159999999999,-122.0,10.685337449955556,1,51,51.0
94.5592,0.0,10.275667309777223,1,51,51.0
72.9448,22.0,1997.4590585203766,1,52,52.0
72.94427447268116,-111.99593079823217,999.2257270899188,2,52,52.0
72.9448,158.0,996.8277012372308,1,52,52.0
3.572,86.0,12.57390462329836,1,52,52.0
26.3112,-94.0,8.069036295931912,1,52,52.0
73.2032,22.0,1999.4086806163764,1,53,53.0
73.2032,158.0,1000.4076381428414,1,53,53.0
73.20265242684336,-111.99576009547602,999.6708732124537,2,53,53.0
86.38159999999999,-22.0,12.764904186575567,1,53,53.0
13.072,-44.0,11.217856322302877,1,53,53.0
73.46159999999999,22.000000000000004,1996.5087422962397,1,54,54.0
73.46073051691543,-111.99326752013143,1000.0644999073536,2,54,54.0
73.46159999999999,158.0,1000.0138167920068,1,54,54.0
34.4888,134.0,10.614132856316248,1,54,54.0
11.5824,-130.0,9.719075186944895,1,54,54.0
73.72,22.0,2004.0428496995276,1,55,55.0
73.72,158.0,1000.8234498085651,1,55,55.0
73.7199124869769,-111.99932237937756,999.9616421513273,2,55,55.0
3.3744,4.000000000000001,11.863714074051774,1,55,55.0
24.4264,-119.99999999999999,9.2134682143435,1,55,55.0
73.9784,22.0,1999.7798431608608,1,56,56.0
73.97846376428554,-112.00049373217057,1001.0158239705754,2,56,56.0
73.9784,158.0,995.5434120603937,1,56,56.0
53.97520000000001,-19.999999999999996,11.906134653853108,1,56,56.0
18.772,18.0,11.240616975248292,1,56,56.0
74.2368,19.999999999999996,1987.7983326931474,1,57,57.0
74.2379202528396,-112.00867421092067,1000.9867367784101,2,57,57.0
74.2368,158.0,992.6074818048096,1,57,57.0
17.2368,-24.000000000000004,10.704449675936377,1,57,57.0
34.6104,96.00000000000001,9.401690424449948,1,57,57.0
74.5104,20.0,1994.3824022691715,1,58,58.0
74.51050287783565,-112.00079659164491,1001.1074900093689,2,58,58.0
74.5104,158.0,998.4491913953343,1,58,58.0
92.8264,28.000000000000004,11.134354512318389,1,58,58.0
10.336,-18.000000000000004,9.684691787779066,1,58,58.0
74.7688,20.0,1991.3651409647514,1,59,59.0
74.76939372750485,-112.00459728148198,1001.911179250472,2,59,59.0
74.7688,158.0,991.5298282749804,1,59,59.0
57.0456,-134.0,10.998051061719478,1,59,59.0
48.168800000000005,-86.0,9.096613729145336,1,59,59.0
